StudentID,Grade,Term,FeesDue,FeesPaid,PaymentStatus,PaymentDate,Balance,DaysLate
SM2000,Form 2,Term 2,439,595,Paid,2026-01-18,0,0
SM2001,Form 3,Term 1,673,854,Unpaid,2026-03-19,0,0
SM2002,Form 1,Term 2,749,764,Late,2026-03-27,0,11
SM2003,Form 1,Term 3,338,219,Paid,2026-02-16,119,0
SM2004,Form 3,Term 2,310,398,Paid,2026-01-05,0,0
SM2005,Form 4,Term 2,855,124,Partial,2026-01-04,731,0
SM2006,Form 2,Term 3,607,205,Partial,2026-03-15,402,0
SM2007,Form 5,Term 3,801,579,Late,2026-02-03,222,22
SM2008,Form 3,Term 3,645,88,Unpaid,2026-04-03,557,0
SM2009,Form 1,Term 3,383,347,Partial,2026-02-06,36,0
SM2010,Form 3,Term 1,488,57,Unpaid,2026-04-30,431,0
SM2011,Form 2,Term 2,645,510,Paid,2026-04-23,135,0
SM2012,Form 1,Term 3,303,821,Paid,2026-02-28,0,0
SM2013,Form 4,Term 2,571,255,Late,2026-01-18,316,20
SM2014,Form 6,Term 3,796,706,Partial,2026-04-01,90,0
SM2015,Form 1,Term 3,799,721,Paid,2026-01-18,78,0
SM2016,Form 1,Term 1,609,638,Paid,2026-04-26,0,0
SM2017,Form 3,Term 3,394,762,Partial,2026-01-14,0,0
SM2018,Form 3,Term 2,828,633,Late,2026-02-16,195,13
SM2019,Form 1,Term 3,490,449,Paid,2026-02-10,41,0
SM2020,Form 3,Term 1,646,866,Unpaid,2026-02-17,0,0
SM2021,Form 2,Term 3,253,802,Paid,2026-01-20,0,0
SM2022,Form 1,Term 2,305,382,Partial,2026-04-14,0,0
SM2023,Form 1,Term 2,686,26,Paid,2026-04-17,660,0
SM2024,Form 1,Term 3,304,388,Paid,2026-02-02,0,0
SM2025,Form 6,Term 1,348,676,Unpaid,2026-03-29,0,0
SM2026,Form 2,Term 2,426,876,Late,2026-02-17,0,26
SM2027,Form 3,Term 3,867,424,Partial,2026-04-02,443,0
SM2028,Form 3,Term 1,582,831,Paid,2026-03-06,0,0
SM2029,Form 2,Term 2,788,586,Partial,2026-03-15,202,0
